Run,Total Distance,Finished,Times Charged,Battery Threshold,Num Stations
1,3870,True,16,0.4,20.0
2,3861,True,17,0.4,20.0
3,3850,True,16,0.4,20.0
4,3699,True,16,0.4,20.0
5,4514,True,19,0.4,20.0
6,3953,True,17,0.4,20.0
7,3981,True,18,0.4,20.0
8,3790,True,16,0.4,20.0
9,4170,True,18,0.4,20.0
10,3966,True,17,0.4,20.0
11,1175,False,5,0.4,20.0
12,3724,True,16,0.4,20.0
13,3823,True,19,0.4,20.0
14,3575,True,15,0.4,20.0
15,4074,True,17,0.4,20.0
16,3613,True,17,0.4,20.0
17,3511,True,15,0.4,20.0
18,3183,True,14,0.4,20.0
19,1833,False,6,0.4,20.0
20,4089,True,16,0.4,20.0
21,3701,True,18,0.4,20.0
22,3852,True,17,0.4,20.0
23,3014,True,13,0.4,20.0
24,3628,True,16,0.4,20.0
25,3785,True,17,0.4,20.0
26,3267,True,16,0.4,20.0
27,3782,True,17,0.4,20.0
28,3918,True,17,0.4,20.0
29,3728,True,17,0.4,20.0
30,3707,True,17,0.4,20.0
31,4248,True,18,0.4,20.0
32,4143,True,18,0.4,20.0
33,4383,True,18,0.4,20.0
34,1808,False,7,0.4,20.0
35,3839,True,17,0.4,20.0
36,4200,True,18,0.4,20.0
37,4177,True,18,0.4,20.0
38,3270,True,14,0.4,20.0
39,3989,True,18,0.4,20.0
40,3804,True,16,0.4,20.0
41,3676,True,18,0.4,20.0
42,3602,True,16,0.4,20.0
43,4369,True,18,0.4,20.0
44,4466,True,19,0.4,20.0
45,3856,True,17,0.4,20.0
46,4212,True,19,0.4,20.0
47,3391,True,15,0.4,20.0
48,3915,True,17,0.4,20.0
49,4112,True,18,0.4,20.0
50,3416,True,17,0.4,20.0
51,3584,True,17,0.4,20.0
52,3177,True,17,0.4,20.0
53,3545,True,16,0.4,20.0
54,3434,True,15,0.4,20.0
55,3554,True,15,0.4,20.0
56,3797,True,18,0.4,20.0
57,4266,True,19,0.4,20.0
58,3853,True,18,0.4,20.0
59,3135,True,15,0.4,20.0
60,4163,True,18,0.4,20.0
61,3816,True,16,0.4,20.0
62,4243,True,18,0.4,20.0
63,3803,True,19,0.4,20.0
64,3332,True,14,0.4,20.0
65,1908,False,8,0.4,20.0
66,4150,True,18,0.4,20.0
67,4223,True,19,0.4,20.0
68,3835,True,17,0.4,20.0
69,3837,True,18,0.4,20.0
70,4345,True,19,0.4,20.0
71,3642,True,16,0.4,20.0
72,3142,True,15,0.4,20.0
73,1433,False,5,0.4,20.0
74,4074,True,17,0.4,20.0
75,4398,True,17,0.4,20.0
76,3897,True,18,0.4,20.0
77,3716,True,15,0.4,20.0
78,3557,True,15,0.4,20.0
79,3939,True,18,0.4,20.0
80,4212,True,18,0.4,20.0
81,3967,True,17,0.4,20.0
82,3292,True,15,0.4,20.0
83,3782,True,17,0.4,20.0
84,2894,False,11,0.4,20.0
85,3705,True,17,0.4,20.0
86,4104,True,17,0.4,20.0
87,3938,True,18,0.4,20.0
88,4551,True,18,0.4,20.0
89,4387,True,18,0.4,20.0
90,3802,True,18,0.4,20.0
91,3376,True,14,0.4,20.0
92,3805,True,16,0.4,20.0
93,3653,True,16,0.4,20.0
94,3984,True,17,0.4,20.0
95,3277,False,12,0.4,20.0
96,4127,True,18,0.4,20.0
97,3915,True,18,0.4,20.0
98,3692,True,17,0.4,20.0
99,4263,True,18,0.4,20.0
100,3713,True,17,0.4,20.0
101,3987,True,17,0.4,20.0
102,4227,True,18,0.4,20.0
103,3838,True,16,0.4,20.0
104,3773,True,15,0.4,20.0
105,4055,True,18,0.4,20.0
106,3747,True,19,0.4,20.0
107,3665,True,17,0.4,20.0
108,4280,True,20,0.4,20.0
109,4124,True,18,0.4,20.0
110,4808,True,21,0.4,20.0
111,3847,True,17,0.4,20.0
112,3482,True,16,0.4,20.0
113,3827,True,18,0.4,20.0
114,3757,True,17,0.4,20.0
115,4012,True,18,0.4,20.0
116,4005,True,17,0.4,20.0
117,3835,True,16,0.4,20.0
118,758,False,2,0.4,20.0
119,3219,True,14,0.4,20.0
120,3978,True,17,0.4,20.0
121,4011,True,17,0.4,20.0
122,3599,True,16,0.4,20.0
123,4207,True,20,0.4,20.0
124,3874,True,17,0.4,20.0
125,3859,True,17,0.4,20.0
126,4011,True,20,0.4,20.0
127,3557,True,15,0.4,20.0
128,4136,True,18,0.4,20.0
129,3567,True,17,0.4,20.0
130,3524,True,15,0.4,20.0
131,4296,True,18,0.4,20.0
132,3441,True,14,0.4,20.0
133,4239,True,20,0.4,20.0
134,3937,True,17,0.4,20.0
135,314,False,0,0.4,20.0
136,3407,True,15,0.4,20.0
137,3850,True,17,0.4,20.0
138,4193,True,18,0.4,20.0
139,3597,True,15,0.4,20.0
140,2897,False,12,0.4,20.0
141,4539,True,18,0.4,20.0
142,3148,True,15,0.4,20.0
143,3650,True,17,0.4,20.0
144,4448,True,19,0.4,20.0
145,4359,True,19,0.4,20.0
146,3501,False,14,0.4,20.0
147,3880,True,16,0.4,20.0
148,3308,True,14,0.4,20.0
149,3698,True,17,0.4,20.0
150,3463,True,16,0.4,20.0
151,3879,True,19,0.4,20.0
152,3863,True,17,0.4,20.0
153,3867,True,17,0.4,20.0
154,3736,True,16,0.4,20.0
155,3379,True,16,0.4,20.0
156,4070,True,18,0.4,20.0
157,3833,True,17,0.4,20.0
158,3597,True,15,0.4,20.0
159,4006,True,17,0.4,20.0
160,3879,True,18,0.4,20.0
161,3704,True,16,0.4,20.0
162,3204,False,12,0.4,20.0
163,3142,True,14,0.4,20.0
164,4174,True,17,0.4,20.0
165,3889,True,18,0.4,20.0
166,706,False,2,0.4,20.0
167,3870,True,16,0.4,20.0
168,3713,True,16,0.4,20.0
169,4201,True,18,0.4,20.0
170,3862,True,17,0.4,20.0
171,3795,True,16,0.4,20.0
172,3680,True,17,0.4,20.0
173,4481,True,19,0.4,20.0
174,4312,True,18,0.4,20.0
175,3784,True,18,0.4,20.0
176,571,False,2,0.4,20.0
177,300,False,0,0.4,20.0
178,4586,True,20,0.4,20.0
179,3220,True,15,0.4,20.0
180,3346,True,14,0.4,20.0
181,3830,True,17,0.4,20.0
182,1571,False,7,0.4,20.0
183,3816,True,17,0.4,20.0
184,3576,True,16,0.4,20.0
185,3803,True,17,0.4,20.0
186,3995,True,18,0.4,20.0
187,3923,True,16,0.4,20.0
188,3380,True,16,0.4,20.0
189,3888,True,17,0.4,20.0
190,4247,True,18,0.4,20.0
191,4117,True,18,0.4,20.0
192,3275,True,14,0.4,20.0
193,3895,True,16,0.4,20.0
194,3392,True,16,0.4,20.0
195,3883,True,17,0.4,20.0
196,3519,True,16,0.4,20.0
197,3255,True,14,0.4,20.0
198,1570,False,7,0.4,20.0
199,4301,True,20,0.4,20.0
200,318,False,0,0.4,20.0
1,3488,True,14,0.4,20.0
2,4368,True,18,0.4,20.0
3,3119,True,14,0.4,20.0
4,1776,False,8,0.4,20.0
5,3869,True,16,0.4,20.0
6,3995,True,18,0.4,20.0
7,3975,True,16,0.4,20.0
8,3358,True,15,0.4,20.0
9,3509,True,16,0.4,20.0
10,3462,True,15,0.4,20.0
11,4077,True,16,0.4,20.0
12,3800,True,16,0.4,20.0
13,4284,True,19,0.4,20.0
14,3877,True,17,0.4,20.0
15,3474,True,15,0.4,20.0
16,3932,True,18,0.4,20.0
17,4290,True,19,0.4,20.0
18,3781,True,17,0.4,20.0
19,4033,True,17,0.4,20.0
20,3722,True,15,0.4,20.0
21,3408,True,14,0.4,20.0
22,4009,True,18,0.4,20.0
23,3529,True,14,0.4,20.0
24,3902,True,18,0.4,20.0
25,4183,True,16,0.4,20.0
26,3297,True,15,0.4,20.0
27,3886,True,17,0.4,20.0
28,3729,True,17,0.4,20.0
29,3687,True,16,0.4,20.0
30,3993,True,17,0.4,20.0
31,3835,True,17,0.4,20.0
32,3648,True,16,0.4,20.0
33,3924,True,17,0.4,20.0
34,4185,True,17,0.4,20.0
35,3559,True,15,0.4,20.0
36,3788,True,17,0.4,20.0
37,3340,True,15,0.4,20.0
38,3625,True,17,0.4,20.0
39,4040,True,16,0.4,20.0
40,4460,True,18,0.4,20.0
41,3855,True,17,0.4,20.0
42,3346,True,14,0.4,20.0
43,3745,True,16,0.4,20.0
44,3782,True,17,0.4,20.0
45,3998,True,18,0.4,20.0
46,3637,True,16,0.4,20.0
47,4650,True,20,0.4,20.0
48,4111,True,18,0.4,20.0
49,3374,True,16,0.4,20.0
50,3508,True,16,0.4,20.0
51,4134,True,18,0.4,20.0
52,3818,True,17,0.4,20.0
53,4228,True,18,0.4,20.0
54,4217,True,18,0.4,20.0
55,3984,True,18,0.4,20.0
56,3243,True,15,0.4,20.0
57,3865,True,18,0.4,20.0
58,3494,True,16,0.4,20.0
59,3883,True,16,0.4,20.0
60,3771,True,17,0.4,20.0
61,3665,True,16,0.4,20.0
62,4349,True,18,0.4,20.0
63,313,False,0,0.4,20.0
64,3585,True,19,0.4,20.0
65,4069,True,19,0.4,20.0
66,4121,True,19,0.4,20.0
67,3660,True,16,0.4,20.0
68,4107,True,18,0.4,20.0
69,4316,True,20,0.4,20.0
70,3870,True,17,0.4,20.0
71,3193,True,15,0.4,20.0
72,4007,True,17,0.4,20.0
73,3976,True,17,0.4,20.0
74,3987,True,17,0.4,20.0
75,3456,True,15,0.4,20.0
76,301,False,1,0.4,20.0
77,3898,True,18,0.4,20.0
78,4046,True,18,0.4,20.0
79,3918,True,17,0.4,20.0
80,3246,True,15,0.4,20.0
81,3704,True,16,0.4,20.0
82,3803,True,16,0.4,20.0
83,3878,True,16,0.4,20.0
84,2456,False,9,0.4,20.0
85,3262,True,15,0.4,20.0
86,3746,True,17,0.4,20.0
87,4080,True,18,0.4,20.0
88,3861,True,17,0.4,20.0
89,3826,True,17,0.4,20.0
90,3585,True,17,0.4,20.0
91,3575,True,16,0.4,20.0
92,4029,True,18,0.4,20.0
93,4187,True,19,0.4,20.0
94,4087,True,18,0.4,20.0
95,3909,True,18,0.4,20.0
96,4068,True,18,0.4,20.0
97,4342,True,18,0.4,20.0
98,3874,True,17,0.4,20.0
99,3946,True,17,0.4,20.0
100,4215,True,18,0.4,20.0
101,3154,True,14,0.4,20.0
102,3697,True,19,0.4,20.0
103,4116,True,17,0.4,20.0
104,3848,True,17,0.4,20.0
105,4089,True,17,0.4,20.0
106,3399,True,15,0.4,20.0
107,3887,True,17,0.4,20.0
108,3913,True,17,0.4,20.0
109,3824,True,17,0.4,20.0
110,3875,True,18,0.4,20.0
111,303,False,0,0.4,20.0
112,3791,True,17,0.4,20.0
113,3778,True,16,0.4,20.0
114,3774,True,17,0.4,20.0
115,3827,True,17,0.4,20.0
116,3722,True,18,0.4,20.0
117,4444,True,19,0.4,20.0
118,3933,True,16,0.4,20.0
119,3568,True,15,0.4,20.0
120,4306,True,18,0.4,20.0
121,3465,True,15,0.4,20.0
122,4052,True,18,0.4,20.0
123,4083,True,17,0.4,20.0
124,4068,True,16,0.4,20.0
125,3979,True,20,0.4,20.0
126,3614,True,16,0.4,20.0
127,3744,True,17,0.4,20.0
128,3833,True,17,0.4,20.0
129,3961,True,16,0.4,20.0
130,3543,True,16,0.4,20.0
131,3994,True,17,0.4,20.0
132,3557,True,17,0.4,20.0
133,4147,True,18,0.4,20.0
134,3809,True,17,0.4,20.0
135,3804,True,17,0.4,20.0
136,4288,True,17,0.4,20.0
137,4049,True,17,0.4,20.0
138,4040,True,17,0.4,20.0
139,3048,True,14,0.4,20.0
140,3660,True,16,0.4,20.0
141,3764,True,16,0.4,20.0
142,3618,True,16,0.4,20.0
143,3861,True,17,0.4,20.0
144,3683,True,16,0.4,20.0
145,1078,False,3,0.4,20.0
146,4723,True,20,0.4,20.0
147,3617,True,16,0.4,20.0
148,4140,True,17,0.4,20.0
149,3939,True,16,0.4,20.0
150,4241,True,18,0.4,20.0
151,4325,True,18,0.4,20.0
152,4009,True,17,0.4,20.0
153,3988,True,18,0.4,20.0
154,3945,True,17,0.4,20.0
155,4384,True,20,0.4,20.0
156,4090,True,18,0.4,20.0
157,4025,True,18,0.4,20.0
158,3866,True,17,0.4,20.0
159,3360,True,15,0.4,20.0
160,3687,True,16,0.4,20.0
161,3448,True,14,0.4,20.0
162,4376,True,18,0.4,20.0
163,3874,True,18,0.4,20.0
164,3810,True,19,0.4,20.0
165,3324,True,17,0.4,20.0
166,4639,True,19,0.4,20.0
167,4282,True,18,0.4,20.0
168,4051,True,18,0.4,20.0
169,3691,True,16,0.4,20.0
170,3874,True,17,0.4,20.0
171,3833,True,17,0.4,20.0
172,4079,True,17,0.4,20.0
173,3914,True,16,0.4,20.0
174,4002,True,16,0.4,20.0
175,3250,True,14,0.4,20.0
176,4091,True,16,0.4,20.0
177,4142,True,16,0.4,20.0
178,3791,True,17,0.4,20.0
179,4124,True,17,0.4,20.0
180,4234,True,20,0.4,20.0
181,4157,True,17,0.4,20.0
182,3831,True,17,0.4,20.0
183,3531,True,18,0.4,20.0
184,3775,True,15,0.4,20.0
185,4147,True,18,0.4,20.0
186,3575,True,17,0.4,20.0
187,3920,True,16,0.4,20.0
188,3803,True,15,0.4,20.0
189,3789,True,16,0.4,20.0
190,3615,True,16,0.4,20.0
191,4071,True,18,0.4,20.0
192,2126,False,8,0.4,20.0
193,3903,True,18,0.4,20.0
194,4232,True,18,0.4,20.0
195,3400,True,14,0.4,20.0
196,3210,True,14,0.4,20.0
197,3729,True,16,0.4,20.0
198,3793,True,16,0.4,20.0
199,3791,True,17,0.4,20.0
200,4112,True,18,0.4,20.0
1,3933,True,16,0.4,20.0
2,3377,True,16,0.4,20.0
3,4107,True,17,0.4,20.0
4,3503,True,17,0.4,20.0
5,4605,True,20,0.4,20.0
6,3237,True,14,0.4,20.0
7,3831,True,19,0.4,20.0
8,4584,True,20,0.4,20.0
9,3822,True,17,0.4,20.0
10,3902,True,17,0.4,20.0
11,3777,True,16,0.4,20.0
12,3642,True,16,0.4,20.0
13,3736,True,16,0.4,20.0
14,4514,True,18,0.4,20.0
15,3574,True,16,0.4,20.0
16,4014,True,19,0.4,20.0
17,4164,True,17,0.4,20.0
18,4223,True,19,0.4,20.0
19,3843,True,16,0.4,20.0
20,3848,True,18,0.4,20.0
21,4016,True,19,0.4,20.0
22,3704,True,19,0.4,20.0
23,4461,True,18,0.4,20.0
24,3916,True,18,0.4,20.0
25,3385,True,15,0.4,20.0
26,3718,True,16,0.4,20.0
27,3722,True,18,0.4,20.0
28,3861,True,17,0.4,20.0
29,3181,True,14,0.4,20.0
30,4553,True,18,0.4,20.0
31,3090,True,14,0.4,20.0
32,3776,True,17,0.4,20.0
33,3578,True,16,0.4,20.0
34,4027,True,17,0.4,20.0
35,3976,True,17,0.4,20.0
36,3817,True,16,0.4,20.0
37,3208,True,16,0.4,20.0
38,4101,True,18,0.4,20.0
39,3275,True,14,0.4,20.0
40,4259,True,18,0.4,20.0
41,3907,True,17,0.4,20.0
42,3781,True,17,0.4,20.0
43,3920,True,17,0.4,20.0
44,4035,True,17,0.4,20.0
45,3197,True,14,0.4,20.0
46,4449,True,17,0.4,20.0
47,3913,True,17,0.4,20.0
48,3956,True,19,0.4,20.0
49,3884,True,20,0.4,20.0
50,4124,True,18,0.4,20.0
51,3976,True,16,0.4,20.0
52,3505,True,15,0.4,20.0
53,3963,True,16,0.4,20.0
54,3474,True,16,0.4,20.0
55,4115,True,18,0.4,20.0
56,3724,True,17,0.4,20.0
57,3116,True,15,0.4,20.0
58,3781,True,17,0.4,20.0
59,4053,True,16,0.4,20.0
60,3892,True,19,0.4,20.0
61,3588,True,17,0.4,20.0
62,3066,True,14,0.4,20.0
63,4312,True,18,0.4,20.0
64,3605,True,16,0.4,20.0
65,3955,True,17,0.4,20.0
66,3487,True,15,0.4,20.0
67,3348,True,16,0.4,20.0
68,3963,True,19,0.4,20.0
69,3999,True,20,0.4,20.0
70,3320,True,15,0.4,20.0
71,4083,True,21,0.4,20.0
72,3719,True,16,0.4,20.0
73,3907,True,17,0.4,20.0
74,2652,False,9,0.4,20.0
75,3533,True,16,0.4,20.0
76,3569,True,18,0.4,20.0
77,3683,True,18,0.4,20.0
78,3999,True,16,0.4,20.0
79,3014,True,13,0.4,20.0
80,3715,True,16,0.4,20.0
81,4511,True,19,0.4,20.0
82,4009,True,16,0.4,20.0
83,3632,True,16,0.4,20.0
84,4321,True,18,0.4,20.0
85,3135,True,16,0.4,20.0
86,3651,True,15,0.4,20.0
87,4068,True,18,0.4,20.0
88,4243,True,17,0.4,20.0
89,3953,True,16,0.4,20.0
90,3866,True,17,0.4,20.0
91,3411,True,17,0.4,20.0
92,4133,True,19,0.4,20.0
93,3537,True,15,0.4,20.0
94,3603,True,15,0.4,20.0
95,3360,True,15,0.4,20.0
96,3259,True,14,0.4,20.0
97,3843,True,17,0.4,20.0
98,3574,True,15,0.4,20.0
99,4388,True,18,0.4,20.0
100,3864,True,17,0.4,20.0
101,3994,True,17,0.4,20.0
102,4133,True,17,0.4,20.0
103,3953,True,19,0.4,20.0
104,3800,True,17,0.4,20.0
105,3713,True,16,0.4,20.0
106,3957,True,17,0.4,20.0
107,4114,True,17,0.4,20.0
108,3656,True,16,0.4,20.0
109,3900,True,17,0.4,20.0
110,4322,True,18,0.4,20.0
111,3658,True,19,0.4,20.0
112,4035,True,18,0.4,20.0
113,3554,True,16,0.4,20.0
114,3873,True,18,0.4,20.0
115,3374,True,15,0.4,20.0
116,3286,True,14,0.4,20.0
117,3782,True,17,0.4,20.0
118,3503,True,15,0.4,20.0
119,3632,True,16,0.4,20.0
120,3866,True,17,0.4,20.0
121,3331,True,14,0.4,20.0
122,4388,True,21,0.4,20.0
123,3983,True,17,0.4,20.0
124,4140,True,17,0.4,20.0
125,4653,True,20,0.4,20.0
126,3977,True,17,0.4,20.0
127,4009,True,17,0.4,20.0
128,3252,True,15,0.4,20.0
129,3725,True,17,0.4,20.0
130,4051,True,17,0.4,20.0
131,4550,True,20,0.4,20.0
132,3325,True,17,0.4,20.0
133,4499,True,18,0.4,20.0
134,4180,True,17,0.4,20.0
135,4028,True,16,0.4,20.0
136,3482,True,17,0.4,20.0
137,4434,True,19,0.4,20.0
138,3900,True,17,0.4,20.0
139,3549,True,15,0.4,20.0
140,3392,True,15,0.4,20.0
141,4054,True,18,0.4,20.0
142,3729,True,17,0.4,20.0
143,4284,True,18,0.4,20.0
144,3877,True,19,0.4,20.0
145,3861,True,17,0.4,20.0
146,3907,True,19,0.4,20.0
147,4598,True,18,0.4,20.0
148,4097,True,18,0.4,20.0
149,3972,True,17,0.4,20.0
150,4033,True,18,0.4,20.0
151,3446,True,16,0.4,20.0
152,3430,True,15,0.4,20.0
153,3459,True,16,0.4,20.0
154,3925,True,16,0.4,20.0
155,715,False,2,0.4,20.0
156,3363,True,15,0.4,20.0
157,5099,True,20,0.4,20.0
158,4190,True,18,0.4,20.0
159,4218,True,18,0.4,20.0
160,3672,True,16,0.4,20.0
161,3428,True,16,0.4,20.0
162,4046,True,17,0.4,20.0
163,3455,True,16,0.4,20.0
164,4148,True,18,0.4,20.0
165,4212,True,18,0.4,20.0
166,3871,True,17,0.4,20.0
167,4024,True,20,0.4,20.0
168,4147,True,18,0.4,20.0
169,3481,True,14,0.4,20.0
170,3342,True,14,0.4,20.0
171,4101,True,18,0.4,20.0
172,3654,True,17,0.4,20.0
173,3657,True,15,0.4,20.0
174,3701,True,16,0.4,20.0
175,4514,True,19,0.4,20.0
176,3715,True,17,0.4,20.0
177,4112,True,20,0.4,20.0
178,3909,True,16,0.4,20.0
179,3951,True,17,0.4,20.0
180,3834,True,17,0.4,20.0
181,3600,True,17,0.4,20.0
182,3823,True,18,0.4,20.0
183,3411,True,15,0.4,20.0
184,4248,True,20,0.4,20.0
185,3605,True,18,0.4,20.0
186,3519,True,15,0.4,20.0
187,3507,True,16,0.4,20.0
188,4143,True,18,0.4,20.0
189,3932,True,16,0.4,20.0
190,4069,True,17,0.4,20.0
191,3690,True,16,0.4,20.0
192,4395,True,19,0.4,20.0
193,4341,True,20,0.4,20.0
194,4048,True,16,0.4,20.0
195,3522,True,16,0.4,20.0
196,3916,True,17,0.4,20.0
197,3692,True,18,0.4,20.0
198,3839,True,18,0.4,20.0
199,4281,True,18,0.4,20.0
200,3838,True,16,0.4,20.0
